Acadia	#1B1404
Light Yellow	#FFFFE0
Light Yellow 1	#FFFFE0
Light Yellow 2	#EEEED1
Light Yellow 3	#CDCDB4
Light Yellow 4	#8B8B7A
Lightning Yellow	#FCC01E
Lilac Bush	#9874D3
Lily	#C8AABF
Lily White	#E7F8FF
Lima	#76BD17
Lime	#BFC921
Lime Green	#32CD32
Limeade	#6F9D02
Limed Ash	#747D63
Limed Gum	#423921
Limed Oak	#AC8A56
Limed Spruce	#394851
Limerick	#9DC209
Linen	#E6E4D4
Linen Light	#FAF0E6
Link Water	#D9E4F5
Lipstick	#AB0563
Lisbon Brown	#423921
Livid Brown	#4D282E
Loafer	#EEF4DE
Loblolly	#BDC9CE
Lochinvar	#2C8C84
Lochmara	#007EC7
Locust	#A8AF8E
Log Cabin	#242A1D
Logan	#AAA9CD
Lola	#DFCFDB
London Hue	#BEA6C3
Lonestar	#6D0101
Lotus	#863C3C
Loulou	#460B41
Lucky	#AF9F1C
Lucky Point	#1A1A68
Lunar Green	#3C493A
Lusty	#991B07
Luxor Gold	#A7882C
Lynch	#697E9A
Mabel	#D9F7FF
Madang	#B7F0BE
Madder Lake Deep	#E32E30
Madison	#09255D
Madras	#3F3002
Magenta 1	#FF00FF
Magenta 2	#EE00EE
Magenta 3	#CD00CD
Magenta 4	#8B008B
Magnolia	#F8F4FF
Mahogany	#4E0606
Mai Tai	#B06608
Maire	#130A06
Maize	#F5D5A0
Makara	#897D6D
Mako	#444954
Malachite Green	#888D65
Malibu	#7DC8F7
Mallard	#233418
Malta	#BDB2A1
Mamba	#8E8190
Mandalay	#AD781B
Mandy	#E25465
Mandys Pink	#F2C3B2
Manganese Blue	#03A89E
Manhattan	#F5C999
Mantis	#74C365
Mantle	#8B9C90
Manz	#EEEF78
Mardi Gras	#350036
Marigold	#B98D28
Mariner	#286ACD
Marlin	#2A140E
Maroon	#B03060
Maroon Dark	#420303
Maroon 1	#FF34B3
Maroon 2	#EE30A7
Maroon 3	#CD2990
Maroon 4	#8B1C62
Mars Orange	#964514
Mars Yellow	#E3701A
Marshland	#0B0F08
Martini	#AFA09E
Martinique	#363050
Marzipan	#F8DB9D
Masala	#403B38
Mash	#40291D
Matisse	#1B659D
Matrix	#B05D54
Matterhorn	#4E3B41
Maverick	#D8C2D5
Mc Kenzie	#AF8751
Medium Aquamarine	#66CDAA
Medium Blue	#0000CD
Medium Orchid	#BA55D3
Medium Orchid 1	#E066FF
Medium Orchid 2	#D15FEE
Medium Orchid 3	#B452CD
Medium Orchid 4	#7A378B
Medium Purple	#9370DB
Medium Purple 1	#AB82FF
Medium Purple 2	#9F79EE
Medium Purple 3	#8968CD
Medium Purple 4	#5D478B
Medium Sea Green	#3CB371
Medium Slate Blue	#7B68EE
Medium Spring Green	#00FA9A
Medium Turquoise	#48D1CC
Medium Violet Red	#C71585
Melanie	#E4C2D5
Melanzane	#300529
Melon	#E3A869
Melrose	#C7C1FF
Meranti	#5D1E0F
Mercury	#E5E5E5
Merino	#F6F0E6
Merlin	#413C37
Merlot	#831923
Metallic Bronze	#49371B
Metallic Copper	#71291D
Meteor	#D07D12
Meteorite	#3C1F76
Mexican Red	#A72525
Mid Gray	#5F5F6E
Midnight	#011635
Midnight Blue	#191970
Midnight Express	#000741
Midnight Moss	#041004
Mikado	#2D2510
Milan	#FAFFA4
Milano Red	#B81104
Milk Punch	#FFF6D4
Milk White	#F6F0E6
Millbrook	#594433
Mimosa	#F8FDD3
Mindaro	#E3F988
Mine Shaft	#323232
Mineral Green	#3F5D53
Ming	#36747D
Minsk	#3F307F
Mint	#BDFCC9
Mint Cream	#F5FFFA
Mint Julep	#F1EEC1
Mint Tulip	#C4F4EB
Mirage	#161928
Mischka	#D1D2DD
Mist Gray	#C4C4BC
Misty Rose	#FFE4E1
Misty Rose 1	#FFE4E1
Misty Rose 2	#EED5D2
Misty Rose 3	#CDB7B5
Misty Rose 4	#8B7D7B
Mobster	#7F7589
Moccaccino	#6E1D14
Moccasin	#FFE4B5
Mocha	#782D19
Mojo	#C04737
Mona Lisa	#FFA194
Monarch	#8B0723
Mondo	#4A3C30
Mongoose	#B5A27F
Monsoon	#8A8389
Montana	#291E30
Monte Carlo	#83D0C6
Monza	#C7031E
Moody Blue	#7F76D3
Moon Glow	#FCFEDA
Moon Mist	#DCDDCC
Moon Raker	#D6CEF6
Moon Yellow	#FCD917
Morning Glory	#9EDEE0
Morocco Brown	#441D00
Mortar	#504351
Mosaic	#123447
Mosque	#036A6E
Mountain Mist	#959396
Muddy Waters	#B78E5C
Muesli	#AA8B5B
Mulberry	#5C0536
Mule Fawn	#8C472F
Mulled Wine	#4E4562
Mustard	#74640D
My Pink	#D69188
My Sin	#FFB31F
Mystic	#E2EBED
Nandor	#4B5D52
Napa	#ACA494
Naples Yellow Deep	#FFA812
Narvik	#EDF9F1
Natural	#86560A
Navajo White	#FFDEAD
Navajo White 1	#FFDEAD
Navajo White 2	#EECFA1
Navajo White 3	#CDB38B
Navajo White 4	#8B795E
Navy	#000080
Navy Blue	#000080
Nebula	#CBDBD6
Negroni	#FFE2C5
Nepal	#8EABC1
Neptune	#7CB7BB
Nero	#140600
Neutral Green	#ACA586
Nevada	#646E75
New Amber	#7B3801
New Orleans	#F3D69D
New York Pink	#D7837F
Niagara	#06A189
Night Rider	#1F120F
Night Shadz	#AA375A
Nightclub	#660045
Nile Blue	#193751
Nobel	#B7B1B1
Nomad	#BAB1A2
Nordic	#012731
Norway	#A8BD9F
Nugget	#C59922
Nutmeg	#81422C
Nutmeg Wood Finish	#683600
Oasis	#FEEFCE
Observatory	#02866F
Ocean Green	#41AA78
Off Green	#E6F8F3
Off Yellow	#FEF9E3
Oil	#281E15
Oiled Cedar	#7C1C05
Old Brick	#901E1E
Old Copper	#724A2F
Old Lace	#FDF5E6
Olive	#3B5E2B
Olive Drab	#6B8E23
Olive Drab 1	#C0FF3E
Olive Drab 2	#B3EE3A
Olive Drab 3	#9ACD32
Olive Drab 4	#698B22
Olive Green	#242E16
Olive Green Dark	#556B2F
Olive Haze	#8B8470
Olivetone	#716E10
Onahau	#CDF4FF
Onion	#2F270E
Opal	#A9C6C2
Opium	#8E6F70
Oracle	#377475
Orange	#FFA500
Orange Dark	#FF8000
Orange Red	#FF4500
Orange Red 1	#FF4500
Orange Red 2	#EE4000
Orange Red 3	#CD3700
Orange Red 4	#8B2500
Orange Roughy	#C45719
Orange White	#FEFCED
Orange 1	#FFA500
Orange 2	#EE9A00
Orange 3	#CD8500
Orange 4	#8B5A00
Orchid	#DA70D6
Orchid Dark	#9932CC
Orchid Medium	#BA55D3
Orchid White	#FFFDF3
Orchid 1	#FF83FA
Orchid 2	#EE7AE9
Orchid 3	#CD69C9
Orchid 4	#8B4789
Oregon	#9B4703
Orient	#015E85
Oriental Pink	#C69191
Orinoco	#F3FBD4
Oslo Gray	#878D91
Ottoman	#E9F8ED
Outer Space	#051040
Oxford Blue	#384555
Oxley	#779E86
Oyster Bay	#DAFAFF
Oyster Pink	#E9CECD
Paarl	#A65529
Pablo	#776F61
Pacifika	#778120
Paco	#411F10
Padua	#ADE6C4
Pale Goldenrod	#EEE8AA
Pale Green	#98FB98
Pale Green 1	#9AFF9A
Pale Green 2	#90EE90
Pale Green 3	#7CCD7C
Pale Green 4	#548B54
Pale Leaf	#C0D3B9
Pale Oyster	#988D77
Pale Prim	#FDFEB8
Pale Rose	#FFE1F2
Pale Sky	#6E7783
Pale Slate	#C3BFC1
Pale Turquoise	#AFEEEE
Pale Turquoise 1	#BBFFFF
Pale Turquoise 2	#AEEEEE
Pale Turquoise 3	#96CDCD
Pale Turquoise 4	#668B8B
Pale Violet Red	#DB7093
Pale Violet Red 1	#FF82AB
Pale Violet Red 2	#EE799F
Pale Violet Red 3	#CD6889
Pale Violet Red 4	#8B475D
Palm Green	#09230F
Palm Leaf	#19330E
Pampas	#F4F2EE
Panache	#EAF6EE
Pancho	#EDCDAB
Panda	#423921
Papaya Whip	#FFEFD5
Paprika	#8D0226
Paradiso	#317D82
Parchment	#F1E9D2
Paris Daisy	#FFF46E
Paris M	#26056A
Paris White	#CADCD4
Parsley	#134F19
Patina	#639A8F
Pattens Blue	#DEF5FF
Paua	#260368
Pavlova	#D7C498
Pea Soup	#CFE5D2
Peach	#FFF0DB
Peach Puff	#FFDAB9
Peach Puff 1	#FFDAB9
Peach Puff 2	#EECBAD
Peach Puff 3	#CDAF95
Peach Puff 4	#8B7765
Peach Schnapps	#FFDCD6
Peacock	#33A1C9
Peanut	#782F16
Pearl Bush	#E8E0D5
Pearl Lusta	#FCF4DC
Peat	#716B56
Pelorous	#3EABBF
Peppermint	#E3F5E1
Perano	#A9BEF2
Perfume	#D0BEF8
Periglacial Blue	#E1E6D6
Permanent Green	#0AC92B
Permanent Red Violet	#DB2645
Persian Plum	#701C1C
Persian Red	#520C17
Persimmon	#FF6B53
Peru	#CD853F
Peru Tan	#7F3A02
Pesto	#7C7631
Petite Orchid	#DB9690
Pewter	#96A8A1
Pharlap	#A3807B
Picasso	#FFF39D
Pickled Aspen	#3F4C3A
Pickled Bean	#6E4826
Pickled Bluewood	#314459
Picton Blue	#45B1E8
Pigeon Post	#AFBDD9
Pine Cone	#6D5E54
Pine Glade	#C7CD90
Pine Tree	#171F04
Pink	#FFC0CB
Pink Flare	#E1C0C8
Pink Lace	#FFDDF4
Pink Lady	#FFF1D8
Pink Light	#FFB6C1
Pink Swan	#BEB5B7
Pink 1	#FFB5C5
Pink 2	#EEA9B8
Pink 3	#CD919E
Pink 4	#8B636C
Piper	#C96323
Pipi	#FEF4CC
Pippin	#FFE1DF
Pirate Gold	#BA7F03
Pistachio	#9DC209
Pixie Green	#C0D8B6
Pizazz	#FF9000
Pizza	#C99415
Plantation	#27504B
Planter	#615D30
Plum	#DDA0DD
Plum Dark	#410056
Plum 1	#FFBBFF
Plum 2	#EEAEEE
Plum 3	#CD96CD
Plum 4	#8B668B
Pohutukawa	#8F021C
Polar	#E5F9F6
Polo Blue	#8DA8CC
Pompadour	#660045
Porcelain	#EFF2F3
Porsche	#EAAE69
Port Gore	#251F4F
Portafino	#FFFFB4
Portage	#8B9FEE
Portica	#F9E663
Pot Pourri	#F5E7E2
Potters Clay	#8C5738
Powder Blue	#BCC9C2
Powder Blue Light	#B0E0E6
Prairie Sand	#9A3820
Prelude	#D0C0E5
Prim	#F0E2EC
Primrose	#EDEA99
Promenade	#FCFFE7
Provincial Pink	#FEF5F1
Prussian Blue	#003153
Pueblo	#7D2C14
Puerto Rico	#3FC1AA
Pumice	#C2CAC4
Pumpkin	#B1610B
Punch	#DC4333
Punga	#4D3D14
Purple	#A020F0
Purple Medium	#9370DB
Purple 1	#9B30FF
Purple 2	#912CEE
Purple 3	#7D26CD
Purple 4	#551A8B
Putty	#E7CD8C
Quarter Pearl Lusta	#FFFDF4
Quarter Spanish White	#F7F2E1
Quicksand	#BD978E
Quill Gray	#D6D6D1
Quincy	#623F2D
Racing Green	#0C1911
Raffia	#EADAB8
Rain Forest	#778120
Raincloud	#7B7C94
Rainee	#B9C8AC
Rajah	#F7B668
Rangitoto	#2E3222
Rangoon Green	#1C1E13
Raspberry	#872657
Raven	#727B89
Raw Sienna	#C76114
Raw Umber	#734A12
Rebel	#3C1206
Red	#FF0000
Red Beech	#7B3801
Red Berry	#8E0000
Red Damask	#DA6A41
Red Devil	#860111
Red Oxide	#6E0902
Red Robin	#80341F
Red Stage	#D05F04
Red 1	#FF0000
Red 2	#EE0000
Red 3	#CD0000
Red 4	#8B0000
Redwood	#5D1E0F
Reef	#C9FFA2
Reef Gold	#9F821C
Regal Blue	#013F6A
Regent Gray	#86949F
Regent St Blue	#AAD6E6
Remy	#FEEBF3
Reno Sand	#A86515
Resolution Blue	#002387
Revolver	#2C1632
Rhino	#2E3F62
Ribbon	#660045
Rice Cake	#FFFEF0
Rice Flower	#EEFFE2
Rich Gold	#A85307
Rio Grande	#BBD009
Riptide	#8BE6D8
River Bed	#434C59
Rob Roy	#EAC674
Robins Egg Blue	#BDC8B3
Rock	#4D3833
Rock Blue	#9EB1CD
Rock Salt	#FFFFFF
Rock Spray	#BA450C
Rodeo Dust	#C9B29B
Rolling Stone	#747D83
Roman	#DE6360
Roman Coffee	#795D4C
Romance	#FFFEFD
Romantic	#FFD2B7
Ronchi	#ECC54E
Roof Terracotta	#A62F20
Rope	#8E4D1E
Rose	#E7BCB4
Rose Bud	#FBB2A3
Rose Bud Cherry	#800B47
Rose Madder	#E33638
Rose Of Sharon	#BF5500
Rose White	#FFF6F5
Rosewood	#65000B
Rosy Brown	#BC8F8F
Rosy Brown 1	#FFC1C1
Rosy Brown 2	#EEB4B4
Rosy Brown 3	#CD9B9B
Rosy Brown 4	#8B6969
Roti	#C6A84B
Rouge	#A23B6C
Royal Blue	#4169E1
Royal Blue 1	#4876FF
Royal Blue 2	#436EEE
Royal Blue 3	#3A5FCD
Royal Blue 4	#27408B
Royal Heath	#AB3472
Rum	#796989
Rum Swizzle	#F9F8E4
Russett	#755A57
Rustic Red	#480404
Rusty Nail	#86560A
Saddle	#4C3024
Saddle Brown	#8B4513
Saddle Brown Dark	#583401
Saffron	#F9BF58
Sage	#9EA587
Sahara	#B7A214
Sail	#B8E0F9
Salem	#097F4B
Salmon	#FA8072
Salmon 1	#FF8C69
Salmon 2	#EE8262
Salmon 3	#CD7054
Salmon 4	#8B4C39
Salomie	#FEDB8D
Salt Box	#685E6E
Saltpan	#F1F7F2
Sambuca	#3A2010
San Felix	#0B6207
San Juan	#304B6A
San Marino	#456CAC
Sand Dune	#826F65
Sandal	#AA8D6F
Sandrift	#AB917A
Sandstone	#796D62
Sandwisp	#F5E7A2
Sandy Beach	#FFEAC8
Sandy Brown	#F4A460
Sangria	#92000A
Sanguine Brown	#8D3D38
Santa Fe	#B16D52
Santas Gray	#9FA0B1
Sap Green	#308014
Sapling	#DED4A4
Sapphire	#2F519E
Saratoga	#555B10
Sauvignon	#FFF5F3
Sazerac	#FFF4E0
Scampi	#675FA6
Scandal	#CFFAF4
Scarlet Gum	#431560
Scarlett	#950015
Scarpa Flow	#585562
Schist	#A9B497
Schooner	#8B847E
Scooter	#2EBFD4
Scorpion	#695F62
Scotch Mist	#FFFBDC
Scrub	#2E3222
Sea Buckthorn	#FBA129
Sea Fog	#FCFFF9
Sea Green Black	#095859
Sea Green Bright	#8FBC8F
Sea Green Dark	#2E8B57
Sea Green Light	#20B2AA
Sea Green Medium	#3CB371
Sea Green 1	#54FF9F
Sea Green 2	#4EEE94
Sea Green 3	#43CD80
Sea Green 4	#2E8B57
Sea Mist	#C5DBCA
Sea Nymph	#78A39C
Sea Pink	#ED989E
Seagull	#80CCEA
Seance	#731E8F
Seashell	#FFF5EE
Seashell Medium	#F1F1F1
Seashell 1	#FFF5EE
Seashell 2	#EEE5DE
Seashell 3	#CDC5BF
Seashell 4	#8B8682
Seaweed	#1B2F11
Selago	#F0EEFD
Sepia	#5E2612
Sepia Dark	#2B0202
Serenade	#FFF4E8
Shadow Green	#9AC2B8
Shady Lady	#AAA5A9
Shakespeare	#4EABD1
Shalimar	#FBFFBA
Shark	#25272C
Sherpa Blue	#004950
Sherwood Green	#02402C
Shilo	#E8B9B3
Shingle Fawn	#6B4E31
Ship Cove	#788BBA
Ship Gray	#3E3A44
Shiraz	#B20931
Shocking	#E292C0
Shuttle Gray	#5F6672
Siam	#646A54
Sidecar	#F3E7BB
Sienna	#A0522D
Sienna 1	#FF8247
Sienna 2	#EE7942
Sienna 3	#CD6839
Sienna 4	#8B4726
Silk	#BDB1A8
Silver Chalice	#ACACAC
Silver Sand	#BFC1C2
Silver Tree	#66B58F
Sinbad	#9FD7D3
Siren	#7A013A
Sirocco	#718080
Sisal	#D3CBBA
Skeptic	#CAE6DA
Sky Blue	#87CEEB
Sky Blue Deep	#00BFFF
Sky Blue Light	#87CEFA
Sky Blue 1	#87CEFF
Sky Blue 2	#7EC0EE
Sky Blue 3	#6CA6CD
Sky Blue 4	#4A708B
Slate Blue	#6A5ACD
Slate Blue Dark	#483D8B
Slate Blue Light	#8470FF
Slate Blue Medium	#7B68EE
Slate Blue 1	#836FFF
Slate Blue 2	#7A67EE
Slate Blue 3	#6959CD
Slate Blue 4	#473C8B
Slate Gray	#708090
Slate Gray 1	#C6E2FF
Slate Gray 2	#B9D3EE
Slate Gray 3	#9FB6CD
Slate Gray 4	#6C7B8B
Slate Gray Dark	#2F4F4F
Slate Gray Light	#778899
Slugger	#412010
Smalt Blue	#51808F
Smoke Tree	#DA6304
Smokey Ash	#413C37
Smoky	#605B73
Snow	#FFFAFA
Snow Drift	#F7FAF7
Snow Flurry	#E4FFD1
Snow 1	#FFFAFA
Snow 2	#EEE9E9
Snow 3	#CDC9C9
Snow 4	#8B8989
Snowy Mint	#D6FFDB
Snuff	#E2D8ED
Soapstone	#FFFBF9
Soft Amber	#D1C6B4
Soft Peach	#F5EDEF
Solid Pink	#893843
Solitaire	#FEF8E2
Solitude	#EAF6FF
Sorbus	#FD7C07
Sorrell Brown	#CEB98F
Sour Dough	#D1BEA8
Soya Bean	#6A6051
Space Shuttle	#433120
Spanish Green	#819885
Spanish White	#F4EBD3
Spectra	#2F5A57
Spice	#6A442E
Spicy Mix	#885342
Spicy Pink	#816E71
Spindle	#B6D1EA
Splash	#FFEFC1
Spray	#79DEEC
Spring Green	#00FA9A
Spring Green Dark	#578363
Spring Green Light	#00FF7F
Spring Green 1	#00FF7F
Spring Green 2	#00EE76
Spring Green 3	#00CD66
Spring Green 4	#008B45
Spring Rain	#ACCBB1
Spring Sun	#F6FFDC
Spring Wood	#F8F6F1
Sprout	#C1D7B0
Spun Pearl	#AAABB7
Squirrel	#8F8176
St Tropaz	#2D569B
Stack	#8A8F8A
Star Dust	#9F9F9C
Stark White	#E5D7BD
Starship	#ECF245
Steel Blue	#4682B4
Steel Blue Light	#B0C4DE
Steel Blue 1	#63B8FF
Steel Blue 2	#5CACEE
Steel Blue 3	#4F94CD
Steel Blue 4	#36648B
Steel Gray	#262335
Stiletto	#9C3336
Stinger	#8B6B0B
Stonewall	#928573
Storm Dust	#646463
Storm Gray	#717486
Stratos	#000741
Straw	#D4BF8D
Strikemaster	#956387
Stromboli	#325D52
Studio	#714AB2
Submarine	#BAC7C9
Sugar Cane	#F9FFF6
Sulu	#C1F07C
Summer Green	#96BBAB
Sun	#FBAC13
Sundance	#C9B35B
Sundown	#FFB1B3
Sunflower	#E4D422
Sunglo	#E16865
Sunset	#DC4333
Sunshade	#FF9E2C
Supernova	#FFC901
Surf	#BBD7C1
Surf Crest	#CFE5D2
Surfie Green	#0C7A79
Sushi	#87AB39
Suva Gray	#888387
Swamp	#001B1C
Swans Down	#DCF0EA
Sweet Corn	#FBEA8C
Sweet Pink	#FD9FA2
Swirl	#D3CDC5
Swiss Coffee	#DDD6D5
Sycamore	#908D39
Tabasco	#A02712
Tacao	#EDB381
Tacha	#D6C562
Tahiti Gold	#E97C07
Tahuna Sands	#EEF0C8
Tall Poppy	#B32D29
Tallow	#A8A589
Tamarillo	#991613
Tamarind	#341515
Tan	#D2B48C
Tan 1	#FFA54F
Tan 2	#EE9A49
Tan 3	#CD853F
Tan 4	#8B5A2B
Tana	#D9DCC1
Tangaroa	#03163C
Tangerine	#E96E00
Tango	#ED7A1C
Tapa	#7B7874
Tapestry	#B05E81
Tara	#E1F6E8
Tarawera	#073A50
Tasman	#CFDCCF
Taupe Gray	#B3AF95
Tawny Port	#692545
Tax Break	#51808F
Te Papa Green	#1E433C
Tea	#C1BAB0
Teak	#B19461
Teak Wood Finish	#6B2A14
Teal Blue	#044259
Temptress	#3B000B
Tequila	#FFE6C7
Terre Verte	#385E0F
Texas	#F8F99C
Texas Rose	#FFB555
Thatch	#B69D98
Thatch Green	#403D19
Thistle	#CCCAA8
Thistle 5	#D8BFD8
Thistle 1	#FFE1FF
Thistle 2	#EED2EE
Thistle 3	#CDB5CD
Thistle 4	#8B7B8B
Thunder	#33292F
Thunderbird	#C02B18
Tia Maria	#C1440E
Tiara	#C3D1D1
Tiber	#063537
Tidal	#F1FFAD
Tide	#BFB8B0
Timber Green	#16322C
Titan White	#F0EEFF
Titanium White	#FCFFF0
Toast	#9A6E61
Tobacco Brown	#715D47
Tobago	#3E2B23
Toledo	#3A0020
Tolopea	#1B0245
Tom Thumb	#3F583B
Tomato	#FF6347
Tomato 1	#FF6347
Tomato 2	#EE5C42
Tomato 3	#CD4F39
Tomato 4	#8B3626
Tonys Pink	#E79F8C
Topaz	#7C778A
Torea Bay	#0F2D9E
Tory Blue	#1450AA
Tosca	#8D3F3F
Totem Pole	#991B07
Touch Wood	#373021
Tower Gray	#A9BDBF
Tradewind	#5FB3AC
Tranquil	#E6FFFF
Travertine	#FFFDE8
Tree Poppy	#FC9C1D
Treehouse	#3B2820
Trendy Green	#7C881A
Trendy Pink	#8C6495
Trinidad	#E64E03
Tropical Blue	#C3DDF9
Trout	#4A4E5A
True V	#8A73D6
Tuatara	#363534
Tuft Bush	#FFDDCD
Tulip Tree	#EAB33B
Tumbleweed	#37290E
Tuna	#353542
Tundora	#4A4244
Turbo	#FAE600
Turkish Rose	#B57281
Turmeric	#CABB48
Turquoise	#40E0D0
Turquoise 1	#00F5FF
Turquoise 2	#00E5EE
Turquoise 3	#00C5CD
Turquoise 4	#00868B
Turquoise Blue	#00C78C
Turquoise Dark	#00CED1
Turquoise Medium	#48D1CC
Turquoise Pale	#AFEEEE
Turtle Green	#2A380B
Tuscany	#BD5E2E
Tusk	#EEF3C3
Tussock	#C5994B
Tutu	#FFF1F9
Twilight	#E4CFDE
Twilight Blue	#EEFDFF
Twine	#C2955D
Ultramarine	#120A8F
Ultramarine Violet	#5C246E
Valencia	#D84437
Valentino	#350E42
Valhalla	#2B194F
Van Cleef	#49170C
Van Dyke Brown	#5E2605
Vanilla	#D1BEA8
Vanilla Ice	#F3D9DF
Varden	#FFF6DF
Venetian Red	#D41A1F
Venetian Red Dark	#72010F
Venice Blue	#055989
Venus	#928590
Verdigris	#5D5E37
Verdun Green	#495400
Vesuvius	#B14A0B
Victoria	#534491
Vida Loca	#549019
Viking	#64CCDB
Vin Rouge	#983D61
Viola	#CB8FA9
Violent Violet	#290C5E
Violet	#8F5E99
Violet Dark	#9400D3
Violet Dark 2	#240A40
Violet Light	#EE82EE
Violet Red	#D02090
Violet Red Medium	#C71585
Violet Red Pale	#DB7093
Violet Red 1	#FF3E96
Violet Red 2	#EE3A8C
Violet Red 3	#CD3278
Violet Red 4	#8B2252
Viridian Green	#678975
Viridian Light	#6EFF70
Vis Vis	#FFEFA1
Vista Blue	#8FD6B4
Vista White	#FCF8F7
Volcano	#651A14
Voodoo	#533455
Vulcan	#10121D
Wafer	#DECBC6
Waikawa Gray	#5A6E9C
Waiouru	#363C0D
Walnut	#773F1A
Wan White	#FCFFF9
Warm Gray	#808069
Wasabi	#788A25
Water Leaf	#A1E9DE
Watercourse	#056F57
Waterloo	#7B7C94
Wattle	#DCD747
Watusi	#FFDDCF
Wax Flower	#FFC0A8
We Peep	#F7DBE6
Wedgewood	#4E7F9E
Well Read	#B43332
West Coast	#625119
West Side	#FF910F
Westar	#DCD9D2
Western Red	#8B0723
Wewak	#F19BAB
Wheat	#F5DEB3
Wheat 1	#FFE7BA
Wheat 2	#EED8AE
Wheat 3	#CDBA96
Wheat 4	#8B7E66
Wheatfield	#F3EDCF
Whiskey	#D59A6F
Whiskey Sour	#DB995E
Whisper	#F7F5FA
White	#FFFFFF
White Ice	#DDF9F1
White Lilac	#F8F7FC
White Linen	#F8F0E8
White Nectar	#FCFFE7
White Pointer	#FEF8FF
White Rock	#EAE8D4
White Smoke	#F5F5F5
Wild Rice	#ECE090
Wild Sand	#F4F4F4
Wild Willow	#B9C46A
William	#3A686C
Willow Brook	#DFECDA
Willow Grove	#65745D
Windsor	#3C0878
Wine Berry	#591D35
Winter Hazel	#D5D195
Wisp Pink	#FEF4F8
Wisteria	#9771B5
Wistful	#A4A6D3
Witch Haze	#FFFC99
Wood Bark	#261105
Woodburn	#3C2005
Woodland	#4D5328
Woodrush	#302A0F
Woodsmoke	#0C0D0F
Woody Bay	#292130
Woody Brown	#483131
Xanadu	#738678
Yellow	#FFFF00
Yellow Green	#9ACD32
Yellow Light	#FFFFE0
Yellow Metal	#716338
Yellow Ochre	#E38217
Yellow Sea	#FEA904
Yellow 1	#FFFF00
Yellow 2	#EEEE00
Yellow 3	#CDCD00
Yellow 4	#8B8B00
Your Pink	#FFC3C0
Yukon Gold	#7B6608
Yuma	#CEC291
Zambezi	#685558
Zanah	#DAECD6
Zest	#E5841B
Zeus	#292319
Ziggurat	#BFDBE2
Zinc White	#FDF8FF
Zinc White 2	#FCF7FF
Zircon	#F4F8FF
Zombie	#E4D69B
Zorba	#A59B91
Zuccini	#044022
Zumthor	#EDF6FF
Zydeco	#25937E</td></tr>
